Car_Name,Price,Fuel_Type,Mileage,Seating_Capacity,Safety_Rating,Warranty,Engine_Size,Transmission,Size,Fuel_Tank
Tiago,₹  5.44 - 7.90 Lakh,"Petrol, CNG",20 - 26.4 km/l,5 People,4 Star (Global NCAP),2 Years or 75000 km,1199 cc,"Manual, Automatic (AMT)",3765 mm L X 1677 mm W X 1535 mm H,"35L, 60L"
Punch,"₹  6.00 - 9.54 Lakh
										",Petrol,18.8 - 18.9 km/l,5 People,5 Star (Global NCAP),2 Years or 75000 km,1199 cc,"Manual, Automatic (AMT)",3827 mm L X 1742 mm W X 1615 mm H,37 litre
Tigor,₹  6.09 - 8.84 Lakh,"Petrol, CNG",19.2 - 26.4 km/l,5 People,4 Star (Global NCAP),2 Years or 75000 km,1199 cc,"Manual, Automatic (AMT)",3993 mm L X 1677 mm W X 1532 mm H,"35L, 60L"
Altroz,₹  6.34 - 10.25 Lakh,"Petrol, Diesel",18.1 - 23 km/l,5 People,5 Star (Global NCAP),2 Years or 75000 km,"1199 cc, 1497 cc","Manual, Automatic (DCT)",3990 mm L X 1755 mm W X 1523 mm H,37 litre
Tiago,₹  5.44 - 7.90 Lakh,"Petrol, CNG",20 - 26.4 km/l,5 People,4 Star (Global NCAP),2 Years or 75000 km,1199 cc,"Manual, Automatic (AMT)",3765 mm L X 1677 mm W X 1535 mm H,"35L, 60L"
Nexon,₹  7.69 - 14.18 Lakh,"Petrol, Diesel",16.3 - 22 km/l,5 People,5 Star (Global NCAP),2 Years or 75000 km,"1199 cc, 1497 cc","Manual, Automatic (AMT)",3993 mm L X 1811 mm W X 1606 mm H,44 litre
Tiago,₹  5.44 - 7.90 Lakh,"Petrol, CNG",20 - 26.4 km/l,5 People,4 Star (Global NCAP),2 Years or 75000 km,1199 cc,"Manual, Automatic (AMT)",3765 mm L X 1677 mm W X 1535 mm H,"35L, 60L"
Tigor,₹  6.09 - 8.84 Lakh,"Petrol, CNG",19.2 - 26.4 km/l,5 People,4 Star (Global NCAP),2 Years or 75000 km,1199 cc,"Manual, Automatic (AMT)",3993 mm L X 1677 mm W X 1532 mm H,"35L, 60L"
Harrier,₹  14.79 - 22.34 Lakh,Diesel,14.6 - 16.3 km/l,5 People,Not Tested,2 Years or 100000 km,1956 cc,"Manual, Automatic (TC)",4598 mm L X 1894 mm W X 1706 mm H,50 litre
Nexon,₹  7.69 - 14.18 Lakh,"Petrol, Diesel",16.3 - 22 km/l,5 People,5 Star (Global NCAP),2 Years or 75000 km,"1199 cc, 1497 cc","Manual, Automatic (AMT)",3993 mm L X 1811 mm W X 1606 mm H,44 litre
